campaign_id,campaign_name,start_date,end_date,channel
CAM000070,Ramadan Sale 000070,2021-01-24,2021-01-30,Display Ads
CAM000071,Year End Sale 000071,2022-06-01,2022-06-15,Push Notification
CAM000072,New Year Sale 000072,2022-08-14,2022-09-13,Display Ads
CAM000073,Ramadan Sale 000073,2023-08-31,2023-09-23,Email
CAM000074,Black Friday 000074,2022-04-04,2022-04-30,Email
CAM000075,Back to School 000075,2021-05-24,2021-06-02,Affiliate
CAM000076,Year End Sale 000076,2022-07-07,2022-07-14,Social Media
CAM000077,Back to School 000077,2021-07-24,2021-08-10,Email
CAM000078,Weekend Sale 000078,2022-06-26,2022-07-24,Email
CAM000079,Weekend Sale 000079,2020-04-13,2020-05-06,Email
CAM000080,Back to School 000080,2025-06-07,2025-06-12,Social Media
CAM000081,Flash Sale 000081,2022-04-12,2022-04-30,Social Media
CAM000082,New Year Sale 000082,2024-11-05,2024-11-20,Social Media
CAM000083,Year End Sale 000083,2022-02-15,2022-02-18,SMS
CAM000084,Flash Sale 000084,2025-03-12,2025-04-09,SMS
CAM000085,Weekend Sale 000085,2022-05-16,2022-06-10,Display Ads
CAM000086,Lebaran Sale 000086,2024-01-11,2024-01-29,Social Media
CAM000087,New Year Sale 000087,2021-08-30,2021-09-08,Affiliate
CAM000088,New Year Sale 000088,2024-02-15,2024-03-06,Display Ads
CAM000089,New Year Sale 000089,2021-10-04,2021-10-08,Affiliate
CAM000090,Weekend Sale 000090,2022-09-03,2022-09-22,Social Media
CAM000091,Ramadan Sale 000091,2020-04-26,2020-05-15,Social Media
CAM000092,Ramadan Sale 000092,2020-05-20,2020-06-11,Display Ads
CAM000093,Year End Sale 000093,2024-10-31,2024-11-10,Email
CAM000094,Back to School 000094,2025-04-12,2025-05-03,Affiliate
CAM000095,Member Exclusive 000095,2023-05-02,2023-05-06,Email
CAM000096,Member Exclusive 000096,2022-05-08,2022-06-01,Affiliate
CAM000097,Independence Day 000097,2022-12-06,2022-12-19,Social Media
CAM000098,Black Friday 000098,2023-10-03,2023-10-28,Social Media
CAM000099,Lebaran Sale 000099,2021-06-27,2021-07-12,Display Ads
CAM000100,Flash Sale 000100,2023-08-14,2023-08-26,SMS
CAM000101,Ramadan Sale 000101,2025-03-17,2025-04-13,Email
CAM000102,Member Exclusive 000102,2022-07-27,2022-08-18,Email
CAM000103,Back to School 000103,2020-05-30,2020-06-19,Affiliate
CAM000104,Black Friday 000104,2021-06-27,2021-07-04,Email
CAM000105,Black Friday 000105,2024-12-05,2024-12-15,SMS
CAM000106,Weekend Sale 000106,2020-11-19,2020-12-06,Display Ads
CAM000107,Weekend Sale 000107,2021-09-11,2021-10-03,Email
CAM000108,Weekend Sale 000108,2023-09-29,2023-10-28,SMS
CAM000109,Ramadan Sale 000109,2025-03-23,2025-04-16,Social Media
CAM000110,Ramadan Sale 000110,2021-06-25,2021-07-01,Display Ads
CAM000111,Independence Day 000111,2023-02-07,2023-02-14,SMS
CAM000112,Black Friday 000112,2023-05-23,2023-06-01,Social Media
CAM000113,Independence Day 000113,2023-11-08,2023-12-01,Affiliate
CAM000114,New Year Sale 000114,2022-09-27,2022-10-08,Email
CAM000115,Independence Day 000115,2023-07-23,2023-08-08,Email
CAM000116,Lebaran Sale 000116,2020-01-08,2020-01-21,Display Ads
CAM000117,Flash Sale 000117,2021-06-20,2021-06-28,Affiliate
CAM000118,Weekend Sale 000118,2023-12-16,2024-01-01,Email
CAM000119,Lebaran Sale 000119,2020-08-17,2020-08-22,Affiliate
CAM000120,Black Friday 000120,2020-03-14,2020-04-12,Affiliate
CAM000121,Year End Sale 000121,2023-02-05,2023-02-12,Social Media
CAM000122,Black Friday 000122,2020-03-26,2020-04-07,Email
CAM000123,Back to School 000123,2025-01-14,2025-01-28,Display Ads
CAM000124,Ramadan Sale 000124,2021-05-26,2021-06-19,SMS
CAM000125,Year End Sale 000125,2024-05-16,2024-06-05,Affiliate
CAM000126,Back to School 000126,2024-03-14,2024-03-21,Social Media
CAM000127,Lebaran Sale 000127,2025-06-22,2025-07-20,Push Notification
CAM000128,Black Friday 000128,2020-02-20,2020-02-28,Push Notification
CAM000129,Back to School 000129,2024-06-30,2024-07-24,SMS
CAM000130,Ramadan Sale 000130,2020-11-22,2020-12-20,Push Notification
CAM000131,Flash Sale 000131,2024-11-21,2024-11-25,Social Media
CAM000132,Flash Sale 000132,2021-02-12,2021-03-13,SMS
CAM000133,Back to School 000133,2021-09-17,2021-10-16,Social Media
CAM000134,Back to School 000134,2020-02-18,2020-03-13,Push Notification
CAM000135,Ramadan Sale 000135,2021-11-03,2021-11-14,SMS
CAM000136,Weekend Sale 000136,2021-12-20,2022-01-12,Push Notification
CAM000137,Weekend Sale 000137,2023-10-23,2023-11-21,SMS
CAM000138,Ramadan Sale 000138,2025-04-07,2025-04-10,SMS
CAM000139,Independence Day 000139,2020-12-31,2021-01-21,Email
CAM000140,Year End Sale 000140,2020-08-10,2020-09-01,SMS
CAM000141,Black Friday 000141,2024-02-01,2024-02-29,Push Notification
CAM000142,Ramadan Sale 000142,2023-05-26,2023-06-14,Push Notification
CAM000143,Back to School 000143,2025-01-16,2025-02-06,SMS
CAM000144,Year End Sale 000144,2020-03-31,2020-04-25,Email
CAM000145,Weekend Sale 000145,2022-11-30,2022-12-28,Display Ads
CAM000146,Back to School 000146,2024-01-13,2024-02-08,SMS
CAM000147,Black Friday 000147,2022-06-02,2022-06-07,Affiliate
CAM000148,Ramadan Sale 000148,2021-10-04,2021-10-28,Display Ads
CAM000149,Weekend Sale 000149,2025-01-17,2025-01-29,SMS
CAM000150,Black Friday 000150,2023-09-27,2023-10-13,Push Notification
CAM000151,Weekend Sale 000151,2023-11-28,2023-12-10,Social Media
CAM000152,Year End Sale 000152,2021-01-27,2021-02-12,Display Ads
CAM000153,Member Exclusive 000153,2024-03-12,2024-03-20,Affiliate
CAM000154,Weekend Sale 000154,2021-09-08,2021-09-23,Email
CAM000155,Back to School 000155,2021-09-14,2021-09-26,Push Notification
CAM000156,Member Exclusive 000156,2024-05-28,2024-06-18,Display Ads
CAM000157,Flash Sale 000157,2021-10-21,2021-11-07,Push Notification
CAM000158,Weekend Sale 000158,2023-10-15,2023-10-24,Push Notification
CAM000159,Lebaran Sale 000159,2024-06-13,2024-07-11,Display Ads
CAM000160,Weekend Sale 000160,2020-06-22,2020-07-04,Display Ads
CAM000161,Black Friday 000161,2023-07-20,2023-08-11,Email
CAM000162,Back to School 000162,2024-08-03,2024-08-30,Display Ads
CAM000163,Back to School 000163,2021-09-27,2021-10-07,Social Media
CAM000164,Back to School 000164,2020-02-20,2020-02-24,Push Notification
CAM000165,Ramadan Sale 000165,2023-06-05,2023-07-05,Push Notification
CAM000166,Member Exclusive 000166,2022-04-28,2022-05-21,Social Media
CAM000167,Year End Sale 000167,2024-01-11,2024-02-05,Push Notification
CAM000168,Lebaran Sale 000168,2022-03-29,2022-04-08,Display Ads
CAM000169,Ramadan Sale 000169,2023-11-09,2023-11-12,Push Notification
CAM000170,Weekend Sale 000170,2021-03-24,2021-04-01,Push Notification
CAM000171,Back to School 000171,2020-04-12,2020-05-02,Email
CAM000172,Flash Sale 000172,2022-07-23,2022-07-30,Display Ads
CAM000173,Member Exclusive 000173,2022-12-23,2023-01-12,SMS
CAM000174,Flash Sale 000174,2025-04-29,2025-05-26,Affiliate
CAM000175,Weekend Sale 000175,2024-07-27,2024-08-22,Push Notification
CAM000176,Flash Sale 000176,2024-08-28,2024-09-17,Social Media
CAM000177,Flash Sale 000177,2024-03-03,2024-04-02,Push Notification
CAM000178,Back to School 000178,2021-06-14,2021-07-11,Display Ads
CAM000179,Weekend Sale 000179,2021-07-21,2021-08-17,Push Notification
CAM000180,Independence Day 000180,2023-07-07,2023-07-17,Push Notification
CAM000181,Independence Day 000181,2020-06-07,2020-07-02,Social Media
CAM000182,Black Friday 000182,2021-07-10,2021-07-23,Affiliate
CAM000183,Lebaran Sale 000183,2020-06-14,2020-06-21,Social Media
CAM000184,Lebaran Sale 000184,2022-02-23,2022-03-20,Display Ads
CAM000185,Year End Sale 000185,2021-03-14,2021-03-19,Push Notification
CAM000186,Flash Sale 000186,2021-11-08,2021-11-28,Push Notification
CAM000187,Year End Sale 000187,2020-05-07,2020-05-16,Push Notification
CAM000188,Member Exclusive 000188,2025-01-27,2025-02-23,Display Ads
CAM000189,Member Exclusive 000189,2020-02-10,2020-03-11,Push Notification
CAM000190,Black Friday 000190,2022-09-03,2022-09-06,SMS
CAM000191,Year End Sale 000191,2024-03-23,2024-04-07,Affiliate
CAM000192,Weekend Sale 000192,2024-03-10,2024-04-05,Affiliate
CAM000193,Flash Sale 000193,2025-01-12,2025-01-22,Social Media
CAM000194,Flash Sale 000194,2021-07-12,2021-07-28,Email
CAM000195,Year End Sale 000195,2022-03-07,2022-03-20,Display Ads
CAM000196,Flash Sale 000196,2020-12-04,2021-01-02,Social Media
CAM000197,New Year Sale 000197,2023-06-28,2023-07-18,Push Notification
CAM000198,New Year Sale 000198,2023-04-27,2023-05-18,Email
CAM000199,Lebaran Sale 000199,2023-08-09,2023-08-25,Push Notification
CAM000200,Independence Day 000200,2021-01-07,2021-01-11,Push Notification
CAM000201,Flash Sale 000201,2021-11-01,2021-11-10,SMS
CAM000202,Year End Sale 000202,2021-11-22,2021-12-19,SMS
CAM000203,Year End Sale 000203,2024-03-20,2024-04-18,SMS
CAM000204,Flash Sale 000204,2024-09-05,2024-09-10,Email
CAM000205,New Year Sale 000205,2024-03-14,2024-04-03,SMS
CAM000206,Ramadan Sale 000206,2021-04-04,2021-04-27,Display Ads
CAM000207,New Year Sale 000207,2020-03-23,2020-04-19,Social Media
CAM000208,New Year Sale 000208,2021-02-12,2021-03-13,Affiliate
CAM000209,Lebaran Sale 000209,2020-11-08,2020-11-18,Push Notification
CAM000210,Member Exclusive 000210,2023-10-03,2023-10-09,Social Media
CAM000211,Independence Day 000211,2022-08-10,2022-09-04,SMS
CAM000212,Member Exclusive 000212,2020-12-09,2020-12-31,Display Ads
CAM000213,Lebaran Sale 000213,2024-01-11,2024-01-17,SMS
CAM000214,New Year Sale 000214,2020-08-09,2020-08-30,SMS
CAM000215,Year End Sale 000215,2023-03-25,2023-04-18,Push Notification
CAM000216,Back to School 000216,2025-04-12,2025-05-07,Email
CAM000217,Back to School 000217,2023-04-27,2023-05-22,Email
CAM000218,Independence Day 000218,2023-11-28,2023-12-25,Display Ads
CAM000219,Ramadan Sale 000219,2023-05-14,2023-06-11,Affiliate
CAM000220,Black Friday 000220,2024-05-21,2024-05-25,Affiliate
CAM000221,Black Friday 000221,2022-05-27,2022-06-20,Email
CAM000222,Black Friday 000222,2022-11-02,2022-11-25,Email
CAM000223,Flash Sale 000223,2024-10-05,2024-10-21,Email
CAM000224,Flash Sale 000224,2022-06-06,2022-06-20,Display Ads
CAM000225,Lebaran Sale 000225,2020-11-09,2020-11-25,Display Ads
CAM000226,Independence Day 000226,2022-12-04,2022-12-27,Affiliate
CAM000227,Flash Sale 000227,2024-07-13,2024-08-02,Push Notification
CAM000228,Member Exclusive 000228,2022-06-11,2022-07-10,SMS
CAM000229,Back to School 000229,2021-10-22,2021-11-21,Email
CAM000230,Back to School 000230,2021-07-25,2021-08-11,Push Notification
CAM000231,Year End Sale 000231,2023-03-13,2023-04-04,SMS
CAM000232,Black Friday 000232,2020-02-28,2020-03-17,Social Media
CAM000233,Black Friday 000233,2022-09-25,2022-10-04,SMS
CAM000234,Member Exclusive 000234,2021-11-28,2021-12-09,Display Ads
CAM000235,Weekend Sale 000235,2024-12-07,2024-12-18,Email
CAM000236,Ramadan Sale 000236,2022-11-24,2022-12-03,Social Media
CAM000237,Flash Sale 000237,2024-01-14,2024-01-30,Affiliate
CAM000238,Flash Sale 000238,2024-04-01,2024-04-11,Display Ads
CAM000239,Flash Sale 000239,2023-12-28,2024-01-15,Email
CAM000240,Back to School 000240,2020-07-09,2020-07-21,Push Notification
CAM000241,Independence Day 000241,2023-11-17,2023-11-27,Display Ads
CAM000242,Flash Sale 000242,2023-04-06,2023-04-20,Affiliate
CAM000243,Year End Sale 000243,2022-12-23,2023-01-06,Display Ads
CAM000244,Black Friday 000244,2023-02-01,2023-02-14,Display Ads
CAM000245,Independence Day 000245,2022-07-18,2022-07-29,SMS
CAM000246,Back to School 000246,2021-04-17,2021-04-23,SMS
CAM000247,Weekend Sale 000247,2020-09-01,2020-09-27,Display Ads
CAM000248,Back to School 000248,2021-01-14,2021-01-23,Display Ads
CAM000249,Member Exclusive 000249,2022-09-18,2022-09-29,Affiliate
CAM000250,Ramadan Sale 000250,2023-05-07,2023-05-19,Social Media
CAM000251,Black Friday 000251,2021-08-29,2021-09-08,Social Media
CAM000252,Weekend Sale 000252,2021-09-11,2021-09-14,Social Media
CAM000253,New Year Sale 000253,2021-07-15,2021-07-19,Affiliate
CAM000254,Lebaran Sale 000254,2021-08-21,2021-09-15,Display Ads
CAM000255,Flash Sale 000255,2024-11-13,2024-12-10,Email
CAM000256,Member Exclusive 000256,2024-11-22,2024-11-25,SMS
CAM000257,Flash Sale 000257,2022-08-19,2022-09-06,SMS
CAM000258,Independence Day 000258,2021-01-12,2021-01-16,Push Notification
CAM000259,Ramadan Sale 000259,2020-08-21,2020-09-19,Push Notification
CAM000260,Member Exclusive 000260,2022-10-04,2022-10-09,Display Ads
CAM000261,Lebaran Sale 000261,2023-11-06,2023-11-10,Social Media
CAM000262,Independence Day 000262,2024-07-19,2024-08-09,Email
CAM000263,Weekend Sale 000263,2021-05-23,2021-05-29,Push Notification
CAM000264,Member Exclusive 000264,2023-05-26,2023-06-17,Social Media
CAM000265,Year End Sale 000265,2024-05-07,2024-05-26,Push Notification
CAM000266,Independence Day 000266,2025-02-03,2025-02-20,Affiliate
CAM000267,Member Exclusive 000267,2022-05-28,2022-06-09,Affiliate
CAM000268,Ramadan Sale 000268,2020-05-03,2020-05-25,Social Media
CAM000269,Independence Day 000269,2023-07-05,2023-07-14,Display Ads
CAM000270,Back to School 000270,2020-06-15,2020-06-23,Social Media
CAM000271,Lebaran Sale 000271,2023-02-04,2023-02-09,Email
CAM000272,Member Exclusive 000272,2022-04-16,2022-05-03,Push Notification
CAM000273,Back to School 000273,2021-08-19,2021-08-23,SMS
CAM000274,Flash Sale 000274,2023-12-18,2023-12-30,Email
CAM000275,Independence Day 000275,2023-11-08,2023-11-18,Display Ads
CAM000276,Back to School 000276,2023-04-22,2023-05-16,Push Notification
CAM000277,Back to School 000277,2020-08-23,2020-09-12,Display Ads
CAM000278,Lebaran Sale 000278,2020-11-01,2020-11-12,Email
CAM000279,Independence Day 000279,2020-05-02,2020-05-10,Affiliate
CAM000280,Member Exclusive 000280,2024-03-13,2024-04-11,SMS
CAM000281,Flash Sale 000281,2022-06-18,2022-06-24,Display Ads
CAM000282,Year End Sale 000282,2021-09-14,2021-10-09,SMS
CAM000283,Flash Sale 000283,2022-10-21,2022-11-10,Push Notification
CAM000284,New Year Sale 000284,2020-06-13,2020-07-05,Push Notification
CAM000285,Member Exclusive 000285,2024-02-13,2024-02-26,SMS
CAM000286,Back to School 000286,2020-02-22,2020-02-27,Display Ads
CAM000287,Member Exclusive 000287,2024-09-08,2024-10-08,Affiliate
CAM000288,Independence Day 000288,2025-05-01,2025-05-04,Affiliate
CAM000289,Lebaran Sale 000289,2020-03-23,2020-04-19,Push Notification
CAM000290,Flash Sale 000290,2022-11-28,2022-12-21,SMS
CAM000291,Year End Sale 000291,2021-01-06,2021-01-27,Display Ads
CAM000292,Ramadan Sale 000292,2024-07-25,2024-08-12,Push Notification
CAM000293,Black Friday 000293,2021-12-13,2021-12-29,SMS
CAM000294,Lebaran Sale 000294,2023-10-04,2023-10-10,SMS
CAM000295,Flash Sale 000295,2022-04-23,2022-05-18,SMS
CAM000296,Weekend Sale 000296,2023-09-18,2023-10-03,Email
CAM000297,Black Friday 000297,2022-07-20,2022-07-25,SMS
CAM000298,Year End Sale 000298,2021-10-24,2021-10-30,Affiliate
CAM000299,Weekend Sale 000299,2024-08-16,2024-08-19,Push Notification
CAM000300,Back to School 000300,2022-04-26,2022-04-30,Affiliate
CAM000301,Flash Sale 000301,2022-01-10,2022-02-01,Display Ads
CAM000302,New Year Sale 000302,2022-06-24,2022-07-21,Social Media
CAM000303,Lebaran Sale 000303,2021-06-30,2021-07-20,SMS
CAM000304,Flash Sale 000304,2022-06-16,2022-07-11,Email
CAM000305,Member Exclusive 000305,2020-02-29,2020-03-23,Social Media
CAM000306,Independence Day 000306,2023-12-24,2024-01-01,Affiliate
CAM000307,Year End Sale 000307,2020-01-29,2020-02-18,Email
CAM000308,Ramadan Sale 000308,2021-04-05,2021-05-04,Push Notification
CAM000309,Lebaran Sale 000309,2025-04-23,2025-04-29,Push Notification
CAM000310,Independence Day 000310,2025-03-25,2025-04-19,Affiliate
CAM000311,Year End Sale 000311,2023-12-15,2023-12-26,Push Notification
CAM000312,Flash Sale 000312,2022-08-25,2022-09-04,Affiliate
CAM000313,Back to School 000313,2020-10-23,2020-11-07,Affiliate
CAM000314,Lebaran Sale 000314,2022-11-06,2022-12-02,Email
CAM000315,Year End Sale 000315,2021-07-19,2021-08-15,SMS
CAM000316,Weekend Sale 000316,2025-03-28,2025-04-25,SMS
CAM000317,Independence Day 000317,2024-08-07,2024-08-10,Display Ads
CAM000318,Member Exclusive 000318,2021-09-03,2021-10-02,Affiliate
CAM000319,Lebaran Sale 000319,2023-09-13,2023-10-01,Push Notification
CAM000320,Black Friday 000320,2023-01-08,2023-01-26,SMS
CAM000321,Weekend Sale 000321,2023-02-04,2023-03-03,Push Notification
CAM000322,Back to School 000322,2022-07-21,2022-08-03,Display Ads
CAM000323,Year End Sale 000323,2021-05-04,2021-05-25,Social Media
CAM000324,Year End Sale 000324,2024-10-19,2024-11-15,Email
CAM000325,Flash Sale 000325,2021-10-13,2021-11-08,Display Ads
CAM000326,Year End Sale 000326,2025-02-13,2025-03-13,Push Notification
CAM000327,Lebaran Sale 000327,2023-09-21,2023-10-19,Push Notification
CAM000328,Lebaran Sale 000328,2025-05-29,2025-06-02,Affiliate
CAM000329,Black Friday 000329,2025-05-31,2025-06-21,Email
CAM000330,Flash Sale 000330,2024-11-25,2024-12-25,Email
CAM000331,New Year Sale 000331,2022-12-13,2022-12-30,Display Ads
CAM000332,Lebaran Sale 000332,2020-10-22,2020-11-07,Email
CAM000333,Independence Day 000333,2022-08-19,2022-09-16,SMS
CAM000334,Year End Sale 000334,2023-06-30,2023-07-25,Display Ads
CAM000335,Black Friday 000335,2020-06-13,2020-07-13,Display Ads
CAM000336,Year End Sale 000336,2024-10-25,2024-11-14,SMS
CAM000337,Flash Sale 000337,2023-07-07,2023-08-01,Affiliate
CAM000338,Ramadan Sale 000338,2020-03-14,2020-04-05,Social Media
CAM000339,Independence Day 000339,2023-07-16,2023-08-09,Social Media
CAM000340,Year End Sale 000340,2024-03-09,2024-03-14,Email
CAM000341,Ramadan Sale 000341,2024-04-06,2024-04-29,Push Notification
CAM000342,Independence Day 000342,2020-12-06,2020-12-31,Email
CAM000343,New Year Sale 000343,2020-04-04,2020-04-17,SMS
CAM000344,Year End Sale 000344,2022-01-04,2022-01-18,Social Media
CAM000345,Year End Sale 000345,2021-05-15,2021-06-03,Affiliate
CAM000346,Lebaran Sale 000346,2023-10-28,2023-11-25,Social Media
CAM000347,Member Exclusive 000347,2020-12-24,2020-12-29,Push Notification
CAM000348,Back to School 000348,2023-06-23,2023-07-17,Push Notification
CAM000349,Lebaran Sale 000349,2025-02-12,2025-03-05,Social Media
CAM000350,Independence Day 000350,2022-08-02,2022-08-25,Push Notification
CAM000351,New Year Sale 000351,2021-06-06,2021-06-30,Push Notification
CAM000352,Weekend Sale 000352,2025-01-19,2025-01-31,Social Media
CAM000353,Black Friday 000353,2020-05-31,2020-06-17,Affiliate
CAM000354,Year End Sale 000354,2021-09-04,2021-09-27,Display Ads
CAM000355,Independence Day 000355,2021-05-27,2021-06-13,Social Media
CAM000356,Flash Sale 000356,2022-02-26,2022-03-28,Email
CAM000357,Member Exclusive 000357,2021-04-30,2021-05-15,SMS
CAM000358,Independence Day 000358,2023-03-23,2023-04-04,Email
CAM000359,Year End Sale 000359,2024-08-26,2024-09-19,SMS
CAM000360,New Year Sale 000360,2020-01-17,2020-02-07,Affiliate
CAM000361,Independence Day 000361,2024-03-06,2024-03-24,Social Media
CAM000362,Black Friday 000362,2023-05-28,2023-06-25,Social Media
CAM000363,Member Exclusive 000363,2023-07-27,2023-08-05,SMS
CAM000364,Lebaran Sale 000364,2023-10-20,2023-11-16,Display Ads
CAM000365,New Year Sale 000365,2020-07-17,2020-08-09,SMS
CAM000366,New Year Sale 000366,2024-06-03,2024-06-20,Affiliate
CAM000367,Lebaran Sale 000367,2022-01-17,2022-02-12,Email
CAM000368,Black Friday 000368,2025-02-05,2025-02-17,Display Ads
CAM000369,Back to School 000369,2022-04-30,2022-05-08,Social Media
CAM000370,Black Friday 000370,2024-05-29,2024-06-18,Affiliate
CAM000371,Lebaran Sale 000371,2022-10-24,2022-11-04,SMS
CAM000372,Flash Sale 000372,2025-02-14,2025-03-15,SMS
CAM000373,Black Friday 000373,2024-03-08,2024-04-07,Email
CAM000374,Lebaran Sale 000374,2022-08-17,2022-08-22,Social Media
CAM000375,Year End Sale 000375,2024-10-27,2024-11-20,Affiliate
CAM000376,Year End Sale 000376,2022-01-19,2022-01-24,Email
CAM000377,Ramadan Sale 000377,2021-06-25,2021-07-15,Push Notification
CAM000378,Independence Day 000378,2022-01-24,2022-02-17,Affiliate
CAM000379,Black Friday 000379,2022-02-19,2022-03-20,Email
CAM000380,Flash Sale 000380,2023-10-14,2023-10-24,Email
CAM000381,Black Friday 000381,2023-06-22,2023-07-12,Affiliate
CAM000382,Ramadan Sale 000382,2021-03-29,2021-04-21,Display Ads
CAM000383,Independence Day 000383,2024-08-14,2024-08-31,Display Ads
CAM000384,Lebaran Sale 000384,2022-04-16,2022-04-22,Email
CAM000385,Independence Day 000385,2025-04-21,2025-04-25,Push Notification
CAM000386,Back to School 000386,2020-08-25,2020-08-31,Affiliate
CAM000387,Flash Sale 000387,2020-10-04,2020-10-19,SMS
CAM000388,Weekend Sale 000388,2023-10-05,2023-10-31,Push Notification
CAM000389,Lebaran Sale 000389,2023-04-17,2023-05-13,Push Notification
CAM000390,Flash Sale 000390,2023-09-03,2023-09-09,Affiliate
CAM000391,New Year Sale 000391,2022-04-15,2022-04-26,Display Ads
CAM000392,Flash Sale 000392,2022-01-28,2022-02-06,Push Notification
CAM000393,Black Friday 000393,2025-04-30,2025-05-10,Email
CAM000394,Weekend Sale 000394,2023-11-05,2023-11-19,Display Ads
CAM000395,Year End Sale 000395,2022-01-04,2022-01-08,SMS
CAM000396,Flash Sale 000396,2021-01-23,2021-01-29,Email
CAM000397,Member Exclusive 000397,2023-09-19,2023-09-28,Email
